Nome,"Wagnild e Young Quando eu faço planos, eu levo eles até o fim",Wagnild e Young Eu costumo lidar com os problemas de uma forma ou de outra,Wagnild e Young Eu sou capaz de depender de mim mais do que qualquer outra pessoa,Wagnild e Young Manter interesse nas coisas é importante para mim,Wagnild e Young Eu posso estar por minha conta se eu precisar,Wagnild e Young Eu sinto orgulho de ter realizado coisas em minha vida,Wagnild e Young Eu costumo aceitar as coisas sem muita preocupação,Wagnild e Young Eu sou amigo de mim mesmo,Wagnild e Young Eu sinto que posso lidar com várias coisas ao mesmo tempo,Wagnild e Young Eu sou determinado,Wagnild e Young Eu raramente penso sobre o objetivo das coisas,Wagnild e Young Eu faço as coisas um dia de cada vez,Wagnild e Young Eu posso enfrentar tempos difíceis porque já experimentei dificuldades antes,Wagnild e Young Eu sou disciplinado,Wagnild e Young Eu mantenho interesse nas coisas,Wagnild e Young Eu normalmente posso achar motivo para rir,Wagnild e Young Minha crença em mim mesmo me leva a atravessar tempos difíceis,"Wagnild e Young Em uma emergência, eu sou uma pessoa em quem as pessoas podem contar",Wagnild e Young Eu posso geralmente olhar uma situação em diversas maneiras,Wagnild e Young Às vezes eu me obrigo a fazer coisas querendo ou não,Wagnild e Young Minha vida tem sentido,Wagnild e Young Eu não insisto em coisas as quais eu não posso fazer nada sobre elas,"Wagnild e Young Quando eu estou numa situação difícil, eu normalmente acho uma saída",Wagnild e Young Eu tenho energia suficiente para fazer o que eu tenho que fazer,Wagnild e Young Tudo bem se há pessoas que não gostam de mim,Wagnild e Young Total,Wagnild e Young Resultado
57a9758c01,7. Totalmente característico,5. Característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,5. Característico,4. Indiferente,7. Totalmente característico,3. Pouco característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,6.Muito característico,4. Indiferente,143.0,Alta
391a61f340,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,3. Pouco característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,163.0,Alta
4d7e986e34,5. Característico,5. Característico,3. Pouco característico,5. Característico,5. Característico,5. Característico,4. Indiferente,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,3. Pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,120.0,Média
55001572b0,3. Pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,3. Pouco característico,3. Pouco característico,3. Pouco característico,1. Nada característico,3. Pouco característico,3. Pouco característico,2. Muito pouco característico,4. Indiferente,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,3. Pouco característico,64.0,Baixa
f0cc4897ed,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,44.0,Baixa
aa73c2d0cd,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,149.0,Alta
347a26ba7e,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,4. Indiferente,5. Característico,7. Totalmente característico,5. Característico,7. Totalmente característico,5. Característico,3. Pouco característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,6.Muito característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,155.0,Alta
94b72badc9,6.Muito característico,5. Característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,5. Característico,3. Pouco característico,5. Característico,2. Muito pouco característico,5. Característico,4. Indiferente,5. Característico,3. Pouco característico,6.Muito característico,5. Característico,2. Muito pouco característico,6.Muito característico,7. Totalmente característico,5. Característico,6.Muito característico,7. Totalmente característico,3. Pouco característico,6.Muito característico,5. Característico,4. Indiferente,123.0,Média
5d3d2cd3e9,7. Totalmente característico,5. Característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,5. Característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,6.Muito característico,7. Totalmente característico,152.0,Alta
d16307330e,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,3. Pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,4. Indiferente,4. Indiferente,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,4. Indiferente,4. Indiferente,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,59.0,Baixa
ffce75b98f,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,157.0,Alta
4b3ccef4a2,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,5. Característico,7. Totalmente característico,2. Muito pouco característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,2. Muito pouco característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,150.0,Alta
43465b799e,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,2. Muito pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,2. Muito pouco característico,5. Característico,2. Muito pouco característico,5. Característico,5. Característico,5. Característico,116.0,Média
9e449f4110,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,165.0,Alta
1de0afb22d,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,4. Indiferente,2. Muito pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,2. Muito pouco característico,5. Característico,2. Muito pouco característico,5. Característico,5. Característico,2. Muito pouco característico,112.0,Média
43256bc164,7. Totalmente característico,5. Característico,5. Característico,7. Totalmente característico,7. Totalmente característico,5. Característico,2. Muito pouco característico,4. Indiferente,5. Característico,6.Muito característico,6.Muito característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,6.Muito característico,7. Totalmente característico,6.Muito característico,2. Muito pouco característico,7. Totalmente característico,2. Muito pouco característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,138.0,Alta
bf5378235d,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,4. Indiferente,4. Indiferente,6.Muito característico,4. Indiferente,5. Característico,6.Muito característico,5. Característico,136.0,Alta
494d296a2f,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,5. Característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,5. Característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,5. Característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,6.Muito característico,156.0,Alta
a84108e4a9,6.Muito característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,160.0,Alta
0cbf8f792a,3. Pouco característico,3. Pouco característico,3. Pouco característico,3. Pouco característico,3. Pouco característico,4. Indiferente,3. Pouco característico,3. Pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,4. Indiferente,4. Indiferente,3. Pouco característico,4. Indiferente,2. Muito pouco característico,,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,4. Indiferente,3. Pouco característico,3. Pouco característico,3. Pouco característico,4. Indiferente,73.0,Baixa
db8de89f15,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,163.0,Alta
c968608cba,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,51.0,Baixa
eeccdf8acf,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,3. Pouco característico,6.Muito característico,3. Pouco característico,5. Característico,3. Pouco característico,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,6.Muito característico,7. Totalmente característico,144.0,Alta
d4a7081884,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,159.0,Alta
b582368021,7. Totalmente característico,5. Característico,5. Característico,7. Totalmente característico,5. Característico,7. Totalmente característico,3. Pouco característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,153.0,Alta
888d06316b,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,2. Muito pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,3. Pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,2. Muito pouco característico,2. Muito pouco característico,114.0,Média
66044d13d2,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,3. Pouco característico,3. Pouco característico,3. Pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,3. Pouco característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,56.0,Baixa
a7bbf2efbc,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,5. Característico,6.Muito característico,3. Pouco característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,6.Muito característico,7. Totalmente característico,2. Muito pouco característico,6.Muito característico,6.Muito característico,7. Totalmente característico,6.Muito característico,6.Muito característico,6.Muito característico,7. Totalmente característico,147.0,Alta
859a1bf1e5,3. Pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,3. Pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,57.0,Baixa
dc7a07548f,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,3. Pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,123.0,Média
a8160a1290,3. Pouco característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,3. Pouco característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,4. Indiferente,4. Indiferente,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,2. Muito pouco característico,135.0,Alta
768c8633d5,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,4. Indiferente,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,4. Indiferente,5. Característico,5. Característico,5. Característico,123.0,Média
73c89de49a,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,2. Muito pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,2. Muito pouco característico,5. Característico,5. Característico,5. Característico,119.0,Média
3d24b2f128,5. Característico,3. Pouco característico,3. Pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,2. Muito pouco característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,4. Indiferente,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,5. Característico,5. Característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,141.0,Alta
3f3dc26f0d,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,48.0,Baixa
af4c28f173,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,2. Muito pouco característico,7. Totalmente característico,2. Muito pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,160.0,Alta
c55946c274,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,55.0,Baixa
7d3a76ceda,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,56.0,Baixa
beb7f8d360,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,3. Pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,50.0,Baixa
41c86c823c,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,3. Pouco característico,5. Característico,5. Característico,5. Característico,3. Pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,3. Pouco característico,5. Característico,5. Característico,5. Característico,119.0,Média
6329f2c923,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,171.0,Alta
c9ac4657a0,3. Pouco característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,4. Indiferente,2. Muito pouco característico,6.Muito característico,6.Muito característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,2. Muito pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,5. Característico,1. Nada característico,3. Pouco característico,4. Indiferente,2. Muito pouco característico,117.0,Média
3dc6eec363,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,125.0,Média
